Date,Open,High,Low,Close,Volume,Adj Close
2012-10-29,85.00,85.30,84.00,84.00,37777000,84.00
2012-10-26,85.30,86.80,84.30,84.30,44972000,84.30
2012-10-25,85.00,86.00,85.00,85.20,28116000,85.20
2012-10-24,83.90,85.60,83.50,85.00,33579000,85.00
2012-10-23,85.10,85.60,84.30,84.70,27302000,84.70
2012-10-22,84.00,85.20,84.00,85.10,34421000,85.10
2012-10-19,86.90,86.90,85.70,85.80,53641000,85.80
2012-10-18,88.00,88.50,87.50,87.50,26025000,87.50
2012-10-17,88.00,88.40,87.10,87.40,26263000,87.40
2012-10-16,87.80,88.40,87.30,87.60,25244000,87.60
2012-10-15,87.50,87.80,86.90,87.50,19160000,87.50
2012-10-12,86.90,87.20,85.80,86.80,36307000,86.80
2012-10-11,87.00,88.00,85.80,86.00,70109000,86.00
2012-10-10,89.30,89.30,89.30,89.30,000,89.30
2012-10-09,89.00,90.00,88.80,89.30,35939000,89.30
2012-10-08,90.00,90.00,88.60,88.70,30564000,88.70
2012-10-05,90.80,91.50,90.20,90.40,31450000,90.40
2012-10-04,91.20,91.50,90.30,91.10,20733000,91.10
2012-10-03,92.70,92.70,91.40,91.40,19750000,91.40
2012-10-02,91.00,91.80,90.40,91.70,27354000,91.70
2012-10-01,92.00,92.00,90.80,91.30,15636000,91.30
2012-09-28,90.50,92.00,90.50,92.00,36550000,92.00
2012-09-27,89.60,91.20,89.50,90.20,44675000,90.20
2012-09-26,91.80,92.00,89.90,90.20,78701000,90.20
2012-09-25,95.20,95.80,93.00,93.50,53565000,93.50
2012-09-24,96.70,96.70,95.70,95.80,27165000,95.80
2012-09-21,96.90,97.20,96.20,96.80,34253000,96.80
2012-09-20,96.80,96.80,95.60,96.00,23028000,96.00
2012-09-19,96.10,96.90,94.70,96.90,34292000,96.90
2012-09-18,96.50,96.90,95.70,96.10,33125000,96.10
2012-09-17,98.00,98.40,96.50,97.50,41513000,97.50
2012-09-14,96.00,98.00,95.30,97.00,74927000,97.00
2012-09-13,93.80,94.30,92.50,93.00,43429000,93.00
2012-09-12,91.00,93.20,90.80,93.00,64660000,93.00
2012-09-11,88.40,91.20,88.30,90.40,47129000,90.40
2012-09-10,89.00,89.40,88.80,88.80,21713000,88.80
2012-09-07,90.00,90.00,88.90,89.00,32779000,89.00
2012-09-06,89.60,89.90,88.20,88.40,36850000,88.40
2012-09-05,89.90,89.90,88.80,88.80,35108000,88.80
2012-09-04,90.50,91.50,89.70,89.90,50086000,89.90
2012-09-03,90.70,90.70,88.50,90.00,105556000,90.00
2012-08-31,83.10,85.50,83.10,84.80,39465000,84.80
2012-08-30,83.00,85.80,83.00,85.50,55587000,85.50
2012-08-29,83.50,84.80,83.50,84.00,33985000,84.00
2012-08-28,86.10,86.70,83.90,84.20,51779000,84.20
2012-08-27,88.00,88.20,87.10,87.50,32067000,87.50
2012-08-24,87.00,87.30,85.90,86.90,32165000,86.90
2012-08-23,86.00,87.10,85.90,87.10,28342000,87.10
2012-08-22,85.70,86.30,85.30,86.10,19752000,86.10
